ID,שם הספר,מחבר,סדרה,כרך בסדרה,חלק,סך כרכים בסדרה,סיווג,הערות,הושאל,
1,אבן החכמים,רולינג ג'.ק.,הארי פוטר,1,,7,פנטזיה,,,
2,חדר הסודות,רולינג ג'.ק.,הארי פוטר,2,,7,פנטזיה,,,
3,האסיר מאזקאבאן,רולינג ג'.ק.,הארי פוטר,3,,7,פנטזיה,,,
4,גביע האש,רולינג ג'.ק.,הארי פוטר,4,,7,פנטזיה,,,
5,מסדר עוף החול,רולינג ג'.ק.,הארי פוטר,5,,7,פנטזיה,,,
6,הנסיך חצוי הדם,רולינג ג'.ק.,הארי פוטר,6,,7,פנטזיה,,,
7,אוצרות המוות,רולינג ג'.ק.,הארי פוטר,7,,7,פנטזיה,,,
8,The Deathly hollows,רולינג ג'.ק.,הארי פוטר,7,,7,פנטזיה,,,
9,חיות הפלא והיכן למצוא אותן,רולינג ג'.ק.,הארי פוטר,,,,פנטזיה,,,
10,קווידיץ' בראי הדורות,רולינג ג'.ק.,הארי פוטר,,,,פנטזיה,,,
11,מעשיות בידל הפייטן,רולינג ג'.ק.,הארי פוטר,,,,פנטזיה,,,
12,העולמות הקסומים של הארי פוטר,קולברט דיויד,הארי פוטר,,,,פנטזיה,,,
13,כנף הדרקון,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,1,,7,פנטזיה,,,
14,כוכב הרפאים,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,2,,7,פנטזיה,,,
14,ים האש,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,3,,7,פנטזיה,,,
15,קוסם הנחש,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,4,,7,פנטזיה,,,
15,יד הכאוס,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,5,,7,פנטזיה,,,
16,אל תוך המבוך,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,6,,7,פנטזיה,,,
17,השער השביעי,"וייס מרגרט, היקמן טרייסי",מחזור שער המוות,7,,7,פנטזיה,,,
18,דרקונים של דמדומי סתיו,"וייס מרגרט, היקמן טרייסי",רשומות רומח הדרקון,1,,4,פנטזיה,רומח הדרקון,,
19,דרקונים של ליל חורף,"וייס מרגרט, היקמן טרייסי",רשומות רומח הדרקון,2,,4,פנטזיה,רומח הדרקון,,
20,דרקונים של שחר האביב,"וייס מרגרט, היקמן טרייסי",רשומות רומח הדרקון,3,,4,פנטזיה,רומח הדרקון,,
21,עת התאומים,"וייס מרגרט, היקמן טרייסי",אגדות רומח הדרקון,1,,3,פנטזיה,רומח הדרקון,,
22,מלחמת התאומים,"וייס מרגרט, היקמן טרייסי",אגדות רומח הדרקון,2,,3,פנטזיה,רומח הדרקון,,
23,מבחן התאומים,"וייס מרגרט, היקמן טרייסי",אגדות רומח הדרקון,3,,3,פנטזיה,רומח הדרקון,,
24,דאלאמר האפל,ברבריק ננסי ואריאן,הסדרה הקלאסית,2,,4,פנטזיה,"רומח הדרקון, שאר הספרים לא תורגמו",,
25,כבשן הנשמה,וייס מרגרט,רשומות רייסטלין,1,,2,פנטזיה,רומח הדרקון,,
26,אחים לנשק,"וייס מרגרט, פרין דון",רשומות רייסטלין,2,,2,פנטזיה,רומח הדרקון,,
27,האחים מאז'ר,שטיין קווין,טריולוגיית ההקדמה 1,3,,3,פנטזיה,"רומח הדרקון, שאר הספרים לא תורגמו",,
28,דרקונים של מג שעון החול,"וייס מרגרט, היקמן טרייסי",הרשומות האבודות,3,,3,פנטזיה,רומח הדרקון,,
29,נשמת הרוח,פירסון כריס,גשרי הזמן,1,,5,פנטזיה,"רומח הדרקון, שאר הספרים לא תורגמו",,
30,ענבר ואפר,וייס מרגרט,כוהנת האופל,1,,3,פנטזיה,רומח הדרקון,,
31,ענבר וברזל,וייס מרגרט,כוהנת האופל,2,,3,פנטזיה,רומח הדרקון,,
32,ענבר ודם,וייס מרגרט,כוהנת האופל,3,,3,פנטזיה,רומח הדרקון,,
33,דור ההמשך,"וייס מרגרט, היקמן טרייסי",,,,,פנטזיה,רומח הדרקון,,
34,אוצרות הפנטזיה,"וייס מרגרט, היקמן טרייסי",,,,,פנטזיה,,,
35,חוק הקוסמים הראשון,גודקינד טרי,חרב האמת,1,,5,פנטזיה,בסדרה יש עוד ספרים שלא תורגמו (15),,
36,חוק הקוסמים השני א',גודקינד טרי,חרב האמת,2א,,5,פנטזיה ,בסדרה יש עוד ספרים שלא תורגמו (15),,
37,חוק הקוסמים השני ב',גודקינד טרי,חרב האמת,2ב,,5,פנטזיה ,בסדרה יש עוד ספרים שלא תורגמו (15),,
38,חוב העצמות,גודקינד טרי,חרב האמת,0,,,פנטזיה,,,
39,אראגון,פאוליני כריסטופר,הירושה,1,,4,פנטזיה,,,
